morfema,contagem
amanhã,11
1sg,65
ir,16
PROG1,20
3sg,88
chegar,4
FUT,6
atravessar,3
rio,4
casa,6
bonita,3
noite,21
fria,2
pedra,1
dura,1
pau,3
torto,1
matar,8
peixe,1
agora,8
querer,6
muitos,1
peixes,1
beber,10
gostar,4
xibé,2
AFET,26
comer,27
INTS1,4
PROGR,1
carne,2
1pl,13
ver,8
PERF2,30
NEG,39
carro,6
todos,15
outro,1
dia,1
dormir,3
deitado,1
DUR,25
com_fome,1
velho,4
PLURALIZADOR,1
ensinar,2
3pl,24
HAB1,17
ser,1
igual,1
descer,1
PERF,13
nunca,2
lá,1
aí,11
como_é,1
onça,5
ITER,16
vir,6
coelho,2
perto,1
voltar,2
levar,1
buscar,1
escura,9
abrir,11
PONT,20
porta,11
cair,4
TEL,41
não_ter,1
mucura,2
CAUS,5
sair,2
estar,2
não_estar,1
criança,23
quando,3
HAB2,26
barata,6
marido,1
mãe,2
MOV,3
acordar,4
pouco,1
FRUST,31
acordarNEG,1
carregar_paneleiro,1
ser_pouco:AUM,1
paneleiro,1
moder,1
urubu,3
voar,1
passar,1
tamanduá,4
bucho,2
PERF1,23
procurar,1
xamã,1
em,1
Mov,1
posse,1
coletânea,1
fazer,5
jacaré,1
morder,2
mulher,12
assar,2
anta,2
desmaiar,3
trabalhar,7
árvore,10
pequena,6
trazer,1
comida,4
pedaço,1
esposa,1
forte,2
pequeno,7
grande,4
sujo,1
CONJ,2
leite,2
homem,6
chorar,5
mentir,2
água,10
nadar,21
aqui,4
isso,3
aparecer,1
açaí,3
HA2,1
meia,1
oito,1
horas,1
COLETIVO,1
curupira,1
fêmea,1
pedir,1
saber,3
bicho,1
deitar_no_chão,1
mover,1
porque,3
esse_aí,1
contar,2
hoje,1
PROG3,2
fechar,1
cachorro,2
pular,6
chão,6
ficar,3
furar,7
lata,4
chutar,1
bola,1
correr,1
assustar,4
piolho,1
buraco,1
dentro,1
IMP,5
gota,2
de_repente,2
derramar,2
morrer,8
essa,1
cortar,1
1SG,4
nesse,2
jabuti,3
casco,1
espocar,1
jogar,1
de_cima,1
mosca,1
estar_no_chão,1
muito,5
três,1
vezes,1
espatifar,2
garrafa,1
subir,1
bravo,2
acabar,1
1sg.poss,2
nome,1
tarde,1
cansado,2
2sg,3
torta,3
ontem,6
bom,2
esse,3
ser_bom,1
Intensif,1
dizer_mentira,1
rato,1
parecer,1
despejar,1
poder,1
daí,2
beliscar,1
_,2
OBJ,1
errar,2
cidade,3
para,2
gorda,1
ruim,2
cara,1
fraco,1
boa,1
Manaus,1
gordo,2
PASS,1
dançar,3
ir_à_frente,1
avó,1
caixa,1
dizer,2
EVID.REPORT,4
engolir,1
por_isso,1
dâw,2
OPINATIVO,1
ouvir,1
1sg.FOCO,1
diferente,2
mandioca,1
isso_que,1
existir,1
POSS,1
todas,2
pessoa,1
pagamento,1
cupuaçu,1
secar,1
2sg.OBJ,1
cavar,1
sentar,1
roça,1
nem,1
jovem,1
descascar,1
abacateira,1
matapi,1
filha,1
escrever,1
bater,1
frio,2
